threshold,precision,recall,total_contacts,true_positives,false_positives,revenue,cost,roi,roi_pct
0.05,0.3006024096385542,0.943289224952741,3320,998,2322,99800.0,3320.0,96480.0,2906.024096385542
0.06836734693877551,0.3149100257069409,0.9262759924385633,3112,980,2132,98000.0,3112.0,94888.0,3049.1002570694086
0.08673469387755102,0.3419744318181818,0.9102079395085066,2816,963,1853,96300.0,2816.0,93484.0,3319.744318181818
0.10510204081632653,0.361482613679786,0.8941398865784499,2617,946,1671,94600.0,2617.0,91983.0,3514.82613679786
0.12346938775510204,0.3736352608168217,0.8733459357277883,2473,924,1549,92400.0,2473.0,89927.0,3636.3526081682166
0.14183673469387753,0.3866266609515645,0.8525519848771267,2333,902,1431,90200.0,2333.0,87867.0,3766.2666095156455
0.16020408163265304,0.41882804995196926,0.8241965973534972,2082,872,1210,87200.0,2082.0,85118.0,4088.280499519693
0.17857142857142855,0.4287143571785893,0.8100189035916824,1999,857,1142,85700.0,1999.0,83701.0,4187.143571785893
0.19693877551020406,0.44,0.7901701323251418,1900,836,1064,83600.0,1900.0,81700.0,4300.0
0.21530612244897956,0.45027322404371584,0.77882797731569,1830,824,1006,82400.0,1830.0,80570.0,4402.732240437158
0.23367346938775507,0.47712019524100063,0.7391304347826086,1639,782,857,78200.0,1639.0,76561.0,4671.201952410006
0.2520408163265306,0.4894703254626675,0.724952741020794,1567,767,800,76700.0,1567.0,75133.0,4794.7032546266755
0.2704081632653061,0.5033875338753387,0.7022684310018904,1476,743,733,74300.0,1476.0,72824.0,4933.875338753388
0.2887755102040816,0.5079474775397373,0.6947069943289225,1447,735,712,73500.0,1447.0,72053.0,4979.474775397373
0.3071428571428571,0.5224429727740986,0.6710775047258979,1359,710,649,71000.0,1359.0,69641.0,5124.429727740986
0.3255102040816326,0.5302218821729151,0.6550094517958412,1307,693,614,69300.0,1307.0,67993.0,5202.2188217291505
0.3438775510204081,0.5426929392446633,0.6247637051039697,1218,661,557,66100.0,1218.0,64882.0,5326.929392446634
0.36224489795918363,0.5558441558441558,0.6068052930056711,1155,642,513,64200.0,1155.0,63045.0,5458.441558441559
0.38061224489795914,0.5673952641165756,0.5888468809073724,1098,623,475,62300.0,1098.0,61202.0,5573.952641165756
0.39897959183673465,0.5769230769230769,0.5812854442344045,1066,615,451,61500.0,1066.0,60434.0,5669.2307692307695
0.41734693877551016,0.5860655737704918,0.5406427221172023,976,572,404,57200.0,976.0,56224.0,5760.655737704918
0.43571428571428567,0.6009445100354192,0.4810964083175803,847,509,338,50900.0,847.0,50053.0,5909.445100354192
0.4540816326530612,0.610062893081761,0.45841209829867674,795,485,310,48500.0,795.0,47705.0,6000.62893081761
0.4724489795918367,0.611183355006502,0.444234404536862,769,470,299,47000.0,769.0,46231.0,6011.83355006502
0.4908163265306122,0.6198910081743869,0.43005671077504726,734,455,279,45500.0,734.0,44766.0,6098.910081743869
0.5091836734693878,0.6262626262626263,0.4102079395085066,693,434,259,43400.0,693.0,42707.0,6162.626262626262
0.5275510204081633,0.6290322580645161,0.4054820415879017,682,429,253,42900.0,682.0,42218.0,6190.322580645162
0.5459183673469388,0.6311336717428088,0.35255198487712663,591,373,218,37300.0,591.0,36709.0,6211.336717428088
0.5642857142857143,0.6379928315412187,0.33648393194706994,558,356,202,35600.0,558.0,35042.0,6279.928315412187
0.5826530612244898,0.6573275862068966,0.2882797731568998,464,305,159,30500.0,464.0,30036.0,6473.275862068966
0.6010204081632653,0.6581986143187067,0.26937618147448017,433,285,148,28500.0,433.0,28067.0,6481.986143187067
0.6193877551020408,0.6623711340206185,0.24291115311909262,388,257,131,25700.0,388.0,25312.0,6523.711340206185
0.6377551020408163,0.66875,0.20226843100189035,320,214,106,21400.0,320.0,21080.0,6587.5
0.6561224489795918,0.6491935483870968,0.15217391304347827,248,161,87,16100.0,248.0,15852.0,6391.935483870968
0.6744897959183673,0.6311111111111111,0.1342155009451796,225,142,83,14200.0,225.0,13975.0,6211.111111111111
0.6928571428571428,0.6497175141242938,0.10869565217391304,177,115,62,11500.0,177.0,11323.0,6397.175141242938
0.7112244897959183,0.5882352941176471,0.02835538752362949,51,30,21,3000.0,51.0,2949.0,5782.35294117647
0.7295918367346939,0.36363636363636365,0.003780718336483932,11,4,7,400.0,11.0,389.0,3536.3636363636365
0.7479591836734694,0.0,0.0,1,0,1,0.0,1.0,-1.0,-100.0
0.7663265306122449,0.0,0.0,1,0,1,0.0,1.0,-1.0,-100.0
0.7846938775510204,0.0,0.0,1,0,1,0.0,1.0,-1.0,-100.0
0.8030612244897959,0.0,0.0,1,0,1,0.0,1.0,-1.0,-100.0
0.8214285714285714,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.8397959183673469,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.8581632653061224,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.8765306122448979,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.8948979591836734,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.9132653061224489,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.9316326530612244,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
