threshold,precision,recall,total_contacts,true_positives,false_positives,revenue,cost,roi,roi_pct
0.05,0.33677548301132576,0.9555765595463138,3002,1011,1991,101100.0,3002.0,98098.0,3267.7548301132583
0.06836734693877551,0.35829451809387314,0.945179584120983,2791,1000,1791,100000.0,2791.0,97209.0,3482.9451809387315
0.08673469387755102,0.3784200385356455,0.9281663516068053,2595,982,1613,98200.0,2595.0,95605.0,3684.2003853564547
0.10510204081632653,0.39631901840490796,0.9158790170132325,2445,969,1476,96900.0,2445.0,94455.0,3863.19018404908
0.12346938775510204,0.41391304347826086,0.8998109640831758,2300,952,1348,95200.0,2300.0,92900.0,4039.1304347826085
0.14183673469387753,0.42759250799451803,0.8846880907372401,2189,936,1253,93600.0,2189.0,91411.0,4175.92507994518
0.16020408163265304,0.43779677113010446,0.8714555765595463,2106,922,1184,92200.0,2106.0,90094.0,4277.967711301044
0.17857142857142855,0.4475766567754698,0.8553875236294896,2022,905,1117,90500.0,2022.0,88478.0,4375.766567754698
0.19693877551020406,0.45799180327868855,0.8449905482041588,1952,894,1058,89400.0,1952.0,87448.0,4479.918032786885
0.21530612244897956,0.4697050938337802,0.8279773156899811,1865,876,989,87600.0,1865.0,85735.0,4597.050938337801
0.23367346938775507,0.48059866962305986,0.8194706994328923,1804,867,937,86700.0,1804.0,84896.0,4705.986696230599
0.2520408163265306,0.5008807985907222,0.8062381852551985,1703,853,850,85300.0,1703.0,83597.0,4908.807985907222
0.2704081632653061,0.5122699386503068,0.7892249527410208,1630,835,795,83500.0,1630.0,81870.0,5022.699386503067
0.2887755102040816,0.5217948717948718,0.7693761814744802,1560,814,746,81400.0,1560.0,79840.0,5117.948717948719
0.3071428571428571,0.5355227882037533,0.7551984877126654,1492,799,693,79900.0,1492.0,78408.0,5255.227882037533
0.3255102040816326,0.5464135021097046,0.7344045368620038,1422,777,645,77700.0,1422.0,76278.0,5364.135021097047
0.3438775510204081,0.5505124450951684,0.7107750472589792,1366,752,614,75200.0,1366.0,73834.0,5405.124450951684
0.36224489795918363,0.5642023346303502,0.6852551984877127,1285,725,560,72500.0,1285.0,71215.0,5542.023346303502
0.38061224489795914,0.5807787903893952,0.6625708884688091,1207,701,506,70100.0,1207.0,68893.0,5707.787903893952
0.39897959183673465,0.5873702422145328,0.6417769376181475,1156,679,477,67900.0,1156.0,66744.0,5773.702422145329
0.41734693877551016,0.5975609756097561,0.6020793950850661,1066,637,429,63700.0,1066.0,62634.0,5875.609756097561
0.43571428571428567,0.6058252427184466,0.5897920604914934,1030,624,406,62400.0,1030.0,61370.0,5958.252427184466
0.4540816326530612,0.6138716356107661,0.5604914933837429,966,593,373,59300.0,966.0,58334.0,6038.71635610766
0.4724489795918367,0.6259798432250839,0.5283553875236295,893,559,334,55900.0,893.0,55007.0,6159.798432250839
0.4908163265306122,0.6467722289890377,0.501890359168242,821,531,290,53100.0,821.0,52279.0,6367.722289890378
0.5091836734693878,0.6457800511508951,0.4773156899810964,782,505,277,50500.0,782.0,49718.0,6357.800511508952
0.5275510204081633,0.6483050847457628,0.43383742911153117,708,459,249,45900.0,708.0,45192.0,6383.050847457627
0.5459183673469388,0.6635658914728683,0.4045368620037807,645,428,217,42800.0,645.0,42155.0,6535.658914728682
0.5642857142857143,0.6899641577060932,0.3638941398865784,558,385,173,38500.0,558.0,37942.0,6799.641577060932
0.5826530612244898,0.7037037037037037,0.32325141776937616,486,342,144,34200.0,486.0,33714.0,6937.0370370370365
0.6010204081632653,0.7220902612826603,0.28733459357277885,421,304,117,30400.0,421.0,29979.0,7120.902612826603
0.6193877551020408,0.7405405405405405,0.2589792060491493,370,274,96,27400.0,370.0,27030.0,7305.405405405405
0.6377551020408163,0.7532894736842105,0.21644612476370512,304,229,75,22900.0,304.0,22596.0,7432.894736842106
0.6561224489795918,0.7573529411764706,0.1947069943289225,272,206,66,20600.0,272.0,20328.0,7473.529411764705
0.6744897959183673,0.7675438596491229,0.16540642722117202,228,175,53,17500.0,228.0,17272.0,7575.438596491227
0.6928571428571428,0.7857142857142857,0.14555765595463138,196,154,42,15400.0,196.0,15204.0,7757.142857142857
0.7112244897959183,0.7941176470588235,0.1275992438563327,170,135,35,13500.0,170.0,13330.0,7841.176470588235
0.7295918367346939,0.7919463087248322,0.11153119092627599,149,118,31,11800.0,149.0,11651.0,7819.463087248321
0.7479591836734694,0.8045112781954887,0.10113421550094517,133,107,26,10700.0,133.0,10567.0,7945.112781954887
0.7663265306122449,0.7757009345794392,0.07844990548204159,107,83,24,8300.0,107.0,8193.0,7657.009345794393
0.7846938775510204,0.7560975609756098,0.05860113421550094,82,62,20,6200.0,82.0,6118.0,7460.975609756098
0.8030612244897959,0.7457627118644068,0.04158790170132325,59,44,15,4400.0,59.0,4341.0,7357.627118644068
0.8214285714285714,0.7567567567567568,0.026465028355387523,37,28,9,2800.0,37.0,2763.0,7467.5675675675675
0.8397959183673469,0.7619047619047619,0.015122873345935728,21,16,5,1600.0,21.0,1579.0,7519.047619047619
0.8581632653061224,0.6666666666666666,0.005671077504725898,9,6,3,600.0,9.0,591.0,6566.666666666667
0.8765306122448979,0.6666666666666666,0.005671077504725898,9,6,3,600.0,9.0,591.0,6566.666666666667
0.8948979591836734,0.7142857142857143,0.004725897920604915,7,5,2,500.0,7.0,493.0,7042.857142857143
0.9132653061224489,0.7142857142857143,0.004725897920604915,7,5,2,500.0,7.0,493.0,7042.857142857143
0.9316326530612244,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
