threshold,precision,recall,total_contacts,true_positives,false_positives,revenue,cost,roi,roi_pct
0.05,0.3317009467841985,0.9603024574669187,3063,1016,2047,101600.0,3063.0,98537.0,3217.009467841985
0.06836734693877551,0.3596271064897813,0.9480151228733459,2789,1003,1786,100300.0,2789.0,97511.0,3496.271064897813
0.08673469387755102,0.3818393480791618,0.9300567107750473,2577,984,1593,98400.0,2577.0,95823.0,3718.393480791618
0.10510204081632653,0.3997539975399754,0.9215500945179584,2439,975,1464,97500.0,2439.0,95061.0,3897.5399753997544
0.12346938775510204,0.4189010989010989,0.9007561436672968,2275,953,1322,95300.0,2275.0,93025.0,4089.010989010989
0.14183673469387753,0.4359925788497217,0.888468809073724,2156,940,1216,94000.0,2156.0,91844.0,4259.925788497217
0.16020408163265304,0.4480077745383868,0.8714555765595463,2058,922,1136,92200.0,2058.0,90142.0,4380.077745383867
0.17857142857142855,0.4622019279553526,0.8610586011342155,1971,911,1060,91100.0,1971.0,89129.0,4522.019279553526
0.19693877551020406,0.4747102212855637,0.8516068052930057,1898,901,997,90100.0,1898.0,88202.0,4647.102212855638
0.21530612244897956,0.48307860262008734,0.8364839319470699,1832,885,947,88500.0,1832.0,86668.0,4730.7860262008735
0.23367346938775507,0.4940577249575552,0.8251417769376181,1767,873,894,87300.0,1767.0,85533.0,4840.577249575552
0.2520408163265306,0.5020551967116853,0.8081285444234405,1703,855,848,85500.0,1703.0,83797.0,4920.551967116852
0.2704081632653061,0.5150769230769231,0.7911153119092628,1625,837,788,83700.0,1625.0,82075.0,5050.7692307692305
0.2887755102040816,0.5308483290488432,0.780718336483932,1556,826,730,82600.0,1556.0,81044.0,5208.4832904884315
0.3071428571428571,0.5397039030955586,0.7580340264650284,1486,802,684,80200.0,1486.0,78714.0,5297.039030955585
0.3255102040816326,0.546742209631728,0.7296786389413988,1412,772,640,77200.0,1412.0,75788.0,5367.422096317281
0.3438775510204081,0.5620328849028401,0.7107750472589792,1338,752,586,75200.0,1338.0,73862.0,5520.328849028401
0.36224489795918363,0.5735641227380016,0.6890359168241966,1271,729,542,72900.0,1271.0,71629.0,5635.641227380016
0.38061224489795914,0.5815307820299501,0.6606805293005671,1202,699,503,69900.0,1202.0,68698.0,5715.307820299501
0.39897959183673465,0.5926916221033868,0.6285444234404537,1122,665,457,66500.0,1122.0,65378.0,5826.916221033868
0.41734693877551016,0.601113172541744,0.6124763705103969,1078,648,430,64800.0,1078.0,63722.0,5911.131725417439
0.43571428571428567,0.6064453125,0.5869565217391305,1024,621,403,62100.0,1024.0,61076.0,5964.453125
0.4540816326530612,0.6154649947753396,0.556710775047259,957,589,368,58900.0,957.0,57943.0,6054.649947753396
0.4724489795918367,0.6276715410573678,0.5274102079395085,889,558,331,55800.0,889.0,54911.0,6176.715410573679
0.4908163265306122,0.6446578631452581,0.5075614366729678,833,537,296,53700.0,833.0,52867.0,6346.57863145258
0.5091836734693878,0.6541450777202072,0.4773156899810964,772,505,267,50500.0,772.0,49728.0,6441.4507772020725
0.5275510204081633,0.6629213483146067,0.44612476370510395,712,472,240,47200.0,712.0,46488.0,6529.213483146067
0.5459183673469388,0.6661538461538462,0.40926275992438566,650,433,217,43300.0,650.0,42650.0,6561.538461538461
0.5642857142857143,0.6750841750841751,0.3790170132325142,594,401,193,40100.0,594.0,39506.0,6650.841750841751
0.5826530612244898,0.6838235294117647,0.3516068052930057,544,372,172,37200.0,544.0,36656.0,6738.235294117647
0.6010204081632653,0.7223529411764706,0.29017013232514177,425,307,118,30700.0,425.0,30275.0,7123.529411764705
0.6193877551020408,0.7420212765957447,0.2637051039697543,376,279,97,27900.0,376.0,27524.0,7320.212765957447
0.6377551020408163,0.7539936102236422,0.22306238185255198,313,236,77,23600.0,313.0,23287.0,7439.936102236422
0.6561224489795918,0.7744360902255639,0.1947069943289225,266,206,60,20600.0,266.0,20334.0,7644.360902255638
0.6744897959183673,0.7721518987341772,0.17296786389413987,237,183,54,18300.0,237.0,18063.0,7621.518987341773
0.6928571428571428,0.7980769230769231,0.15689981096408318,208,166,42,16600.0,208.0,16392.0,7880.7692307692305
0.7112244897959183,0.8160919540229885,0.1342155009451796,174,142,32,14200.0,174.0,14026.0,8060.919540229886
0.7295918367346939,0.8251748251748252,0.11153119092627599,143,118,25,11800.0,143.0,11657.0,8151.748251748252
0.7479591836734694,0.819672131147541,0.0945179584120983,122,100,22,10000.0,122.0,9878.0,8096.72131147541
0.7663265306122449,0.83,0.07844990548204159,100,83,17,8300.0,100.0,8200.0,8200.0
0.7846938775510204,0.8409090909090909,0.06994328922495274,88,74,14,7400.0,88.0,7312.0,8309.09090909091
0.8030612244897959,0.8571428571428571,0.062381852551984876,77,66,11,6600.0,77.0,6523.0,8471.42857142857
0.8214285714285714,0.8409090909090909,0.03497164461247637,44,37,7,3700.0,44.0,3656.0,8309.09090909091
0.8397959183673469,0.8421052631578947,0.015122873345935728,19,16,3,1600.0,19.0,1581.0,8321.052631578948
0.8581632653061224,0.75,0.005671077504725898,8,6,2,600.0,8.0,592.0,7400.0
0.8765306122448979,0.6666666666666666,0.001890359168241966,3,2,1,200.0,3.0,197.0,6566.666666666667
0.8948979591836734,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.9132653061224489,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.9316326530612244,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
0.95,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
