feature,importance
duration,1.736992373636577
contact_unknown,0.45929805442232396
month_contact_may_unknown,0.37207576174822243
housing_yes,0.33562391215309784
day,0.26231568534668415
poutcome_success,0.21810649103760846
month_may,0.1923047601564656
campaign_capped,0.16122875308568482
month_jul,0.15767275752141835
previous_contacts,0.1446979497249905
education_ord,0.1364008029569909
age,0.12621645925972624
loan_yes,0.11503125825333868
balance_log,0.11372688708306314
poutcome_unknown,0.10420842506983094
balance,0.10090001174183262
month_contact_aug_cellular,0.09378994330702822
marital_married,0.08871392712881415
month_contact_jun_unknown,0.07940488918533165
campaign,0.07120892955473174
month_nov,0.06817613177000313
month_contact_jun_cellular,0.05955603220378484
month_jan,0.055166939840408054
month_aug,0.051769340340725514
month_oct,0.050879481132428586
month_contact_jul_cellular,0.04958043887189962
month_contact_may_cellular,0.04842089806076751
age_group,0.03897286069836247
month_feb,0.03672110467000935
month_contact_nov_cellular,0.03639092331141631
month_contact_feb_cellular,0.036355662917720515
job_blue-collar,0.034859878867087135
month_contact_mar_cellular,0.029716808248034715
month_sep,0.02866172060073585
marital_single,0.024605982797771198
month_mar,0.021130984596529845
job_marital_blue-collar_married,0.02022143916864488
month_contact_sep_cellular,0.01908113548648828
default_yes,0.017881179404714547
job_marital_self-employed_married,0.017621458138206918
contact_telephone,0.01376869847084803
month_contact_jan_cellular,0.010593758672386834
month_jun,0.010429229979919935
job_marital_management_married,0.010288859643129764
poutcome_other,0.009657785918417792
job_marital_admin._single,0.008922474924897597
job_self-employed,0.008524875488643877
job_marital_entrepreneur_married,0.006839826247800888
month_dec,0.006717126146734982
job_marital_services_married,0.006614780655890805
job_student,0.005739496951702095
job_housemaid,0.005587996329629894
job_marital_admin._married,0.0055840999211084295
job_technician,0.005257112758303776
month_contact_jan_telephone,0.005237213561306338
month_contact_nov_telephone,0.0048315968056053754
job_marital_retired_married,0.00472340135968255
job_marital_management_single,0.004100092513688445
month_contact_feb_telephone,0.00400985211520559
job_services,0.003595889821768497
month_contact_oct_cellular,0.0032934492670173197
month_contact_dec_cellular,0.002968503931032686
job_management,0.00294927816776745
job_marital_student_single,0.002913064120824373
job_marital_technician_single,0.0028337286912914453
job_marital_blue-collar_single,0.002551962813687046
month_contact_apr_unknown,0.002355767475199527
month_contact_may_telephone,0.0021430715926603564
job_retired,0.002107299059925005
month_contact_oct_unknown,0.002100763091241231
month_contact_jul_unknown,0.0019989247859731837
job_marital_unknown_married,0.001895058972324502
job_entrepreneur,0.001787303639405626
job_marital_housemaid_married,0.0017594673933526842
job_marital_technician_married,0.0016397494192911559
month_contact_nov_unknown,0.0016183474056804836
month_contact_oct_telephone,0.001597387549676481
job_marital_retired_divorced,0.0015729762105496838
job_marital_services_divorced,0.0014965381956736391
job_unemployed,0.0013397741238042452
month_contact_aug_unknown,0.0012897854780383109
job_marital_services_single,0.0012637828378857427
job_marital_self-employed_divorced,0.0011141477252802812
job_marital_unemployed_single,0.0009987427908883402
month_contact_jun_telephone,0.0009388512644327474
job_marital_unemployed_divorced,0.000811675799234729
job_marital_self-employed_single,0.0006724754579313965
job_marital_blue-collar_divorced,0.0005635387699036323
job_marital_technician_divorced,0.0005587917031727511
job_marital_entrepreneur_single,0.000545303909501439
month_contact_feb_unknown,0.00045137695640359073
month_contact_apr_telephone,0.00044808605294901745
job_marital_management_divorced,0.0004472691810560086
job_marital_student_married,0.0004228821125830576
month_contact_mar_unknown,0.00039525248445032585
job_marital_unemployed_married,0.0003707939790780975
month_contact_jul_telephone,0.00034562580663461263
month_contact_aug_telephone,0.00030634937593752593
month_contact_sep_unknown,0.00026225042078389244
job_marital_entrepreneur_divorced,0.00018496226847130448
month_contact_sep_telephone,0.00015743793945529436
job_marital_housemaid_divorced,0.00014267969858796582
month_contact_dec_telephone,0.00012553886195380381
job_unknown,0.00010998309890260053
month_contact_jan_unknown,6.446090573257244e-05
job_marital_retired_single,6.239697809352646e-05
job_marital_unknown_divorced,3.967307211113854e-05
month_contact_dec_unknown,3.459303026526795e-05
job_marital_housemaid_single,3.055358533363144e-05
month_contact_mar_telephone,0.0
job_marital_unknown_single,0.0
job_marital_student_divorced,0.0
was_contacted_before,0.0
