feature,importance
duration,1.6204903837915474
month_contact_may_unknown,0.7006303918735949
month_may,0.3501085483499362
day,0.28434158307960056
housing_yes,0.24103946185449826
month_contact_jun_unknown,0.23978831898937825
contact_unknown,0.2172199007201875
month_jul,0.19885721658469552
poutcome_success,0.18933982553186962
balance_log,0.16493830945862048
campaign,0.16136368178441415
balance,0.16054200573617883
age,0.14738627848150518
marital_married,0.14597575299264434
month_contact_aug_cellular,0.1362082441727066
education_ord,0.11352747894304215
month_nov,0.10502492335271946
previous_contacts,0.09266064825311535
loan_yes,0.08596175432018029
month_jan,0.0804130181288835
month_contact_nov_cellular,0.058417203826176954
month_aug,0.0566187306226244
contact_telephone,0.04500934866413968
month_contact_jul_cellular,0.033978305179571004
job_marital_management_married,0.030940951968195848
month_contact_jun_cellular,0.029452440324345994
month_contact_may_cellular,0.026760759531802496
job_marital_retired_married,0.024501563684207993
job_marital_self-employed_married,0.024163427199437836
month_feb,0.0230008729792295
marital_single,0.02124420916508775
poutcome_unknown,0.020218910876732634
month_oct,0.020197107873782864
job_marital_services_married,0.019763460677905152
poutcome_other,0.019551787744233766
month_sep,0.018652809107979704
job_blue-collar,0.017152862982654848
job_self-employed,0.014979977932204815
campaign_capped,0.01471344953883257
month_contact_jan_cellular,0.013740946745025908
month_contact_feb_cellular,0.011739074488306944
month_mar,0.010708375446230024
month_contact_mar_cellular,0.010674681138740117
default_yes,0.010333165656895977
job_housemaid,0.009696968897799871
job_marital_admin._married,0.008884742446222827
month_contact_jan_telephone,0.008736958219049282
month_jun,0.008086417144961323
job_marital_admin._single,0.006961400319282364
job_marital_services_single,0.006651955490837413
job_technician,0.006081408281423848
job_marital_technician_married,0.005940276364096607
month_contact_may_telephone,0.0054788534628498866
job_management,0.005251849657657789
job_marital_technician_single,0.005214173433212643
month_contact_sep_cellular,0.004722238769366147
job_services,0.004153836690774109
job_marital_blue-collar_single,0.004122898035334451
month_contact_feb_telephone,0.004066290997720239
job_marital_entrepreneur_married,0.004000462460214037
job_marital_blue-collar_married,0.003963636104080207
job_marital_unknown_married,0.003825033498574137
job_retired,0.003809456067418989
month_dec,0.0037759642313173985
month_contact_jul_unknown,0.0034074987765180353
job_unemployed,0.0033212663479716183
age_group,0.0029493081825791036
job_marital_housemaid_married,0.0026012260596677502
job_marital_management_single,0.0024898186426885517
job_marital_services_divorced,0.0024225320339119564
month_contact_nov_telephone,0.002387520634378475
job_entrepreneur,0.0023671344344908534
job_marital_unemployed_married,0.0015280791047782548
month_contact_oct_cellular,0.0014687635534737212
month_contact_jul_telephone,0.0014364403454687406
job_marital_blue-collar_divorced,0.0011983029531272861
job_marital_self-employed_divorced,0.00118236222541252
job_marital_self-employed_single,0.0010556776110846177
month_contact_aug_unknown,0.0008320715162011413
job_student,0.0007318469623122039
job_marital_student_single,0.0007228594317254103
job_marital_unemployed_single,0.0006147028747636088
job_marital_retired_divorced,0.0005793693122579455
month_contact_aug_telephone,0.0005130469831263794
month_contact_oct_telephone,0.0005125451643300737
job_marital_management_divorced,0.0005059595229555292
job_marital_technician_divorced,0.0004851284036717272
month_contact_oct_unknown,0.00048130195163715607
month_contact_dec_cellular,0.0004683511221136678
month_contact_sep_unknown,0.0004600527291036087
job_unknown,0.000407142615132981
job_marital_entrepreneur_single,0.00037978889323858866
month_contact_jun_telephone,0.0002847088813528039
month_contact_sep_telephone,0.00020602770526385495
month_contact_mar_telephone,0.0001790891014566069
job_marital_student_married,0.00015966814482379073
job_marital_unemployed_divorced,0.0001478758778937702
job_marital_entrepreneur_divorced,0.0001460545269449048
month_contact_apr_telephone,9.635852549406656e-05
month_contact_dec_telephone,2.3730222324338537e-05
job_marital_retired_single,0.0
job_marital_student_divorced,0.0
was_contacted_before,0.0
job_marital_unknown_divorced,0.0
month_contact_nov_unknown,0.0
month_contact_apr_unknown,0.0
job_marital_unknown_single,0.0
month_contact_feb_unknown,0.0
month_contact_mar_unknown,0.0
job_marital_housemaid_divorced,0.0
job_marital_housemaid_single,0.0
month_contact_dec_unknown,0.0
month_contact_jan_unknown,0.0
