Model,ROC-AUC,PR-AUC,Precision@5%,Precision@10%,Precision@20%,Lift@10%,Brier
LightGBM,0.9338418087789843,0.6275211337069326,0.7035398230088495,0.6272123893805309,0.48672566371681414,5.360946727002023,0.061886720709618884
CatBoost,0.9326941583522034,0.6228229295546212,0.7168141592920354,0.6393805309734514,0.48008849557522126,5.464950984492363,0.06213449582818608
XGBoost,0.9311593216486962,0.6118497005069019,0.7079646017699115,0.6238938053097345,0.48008849557522126,5.332581929504658,0.0627133345817574
Logistic Regression (EN),0.9133487529192851,0.5388994338399581,0.6548672566371682,0.5940265486725663,0.45298672566371684,5.077298752028372,0.06822216544647404
