Feature,Coefficient,StdErr,z-value,p-value,OddsRatio
Intercept,-2.357806984589869,0.021614864497001018,-109.0826632254394,0.0,0.0946275154152373
contact_unknown,-0.7031262900340314,0.030645818497274727,-22.94362900101882,1.705899522394327e-116,0.4950352583134567
housing_yes,-0.2840516780079219,0.0206111108896095,-13.781483178139537,3.294336920211468e-43,0.752727744230726
month_aug,-0.29044039502874636,0.025933718902667408,-11.199334585171012,4.108074869977521e-29,0.7479341085745902
month_nov,-0.23909188319800542,0.02278065214548728,-10.495392391361728,9.07000760441836e-26,0.7873425354989204
campaign,-0.2999978936881922,0.029464769274628818,-10.18157959738415,2.3963935873807908e-24,0.7408197810775269
month_jul,-0.26208584226033343,0.02611616493602561,-10.03538777237551,1.0653995551294669e-23,0.7694449699770906
month_mar,0.11539503518172799,0.012263407982768556,9.40970367648787,4.975375827667531e-21,1.1223167045964957
month_jan,-0.1824664409321467,0.020087559957740142,-9.083554265227654,1.0508592726266752e-19,0.8332126052975065
month_sep,0.10547320538310467,0.012720114552904834,8.291843988073067,1.1150612402588686e-16,1.1112363289722267
month_oct,0.10596836698886174,0.013048648053042967,8.12102269584547,4.622715676278813e-16,1.1117867067889926
loan_yes,-0.1616519365556983,0.021280724172317952,-7.596167087489238,3.0503062963563676e-14,0.8507372635557328
month_may,-0.1852712952827682,0.03185127949267496,-5.8167614687308316,5.999866224568929e-09,0.8308788397627699
month_dec,0.06690348654099308,0.011506612571995558,5.814351193488581,6.086950441233396e-09,1.0691922817493031
education_tertiary,0.16648872183720786,0.032803899318118585,5.075272309022456,3.869414535784373e-07,1.181150214590852
job_retired,0.08641461966745721,0.020264539696518487,4.26432679752916,2.0050580590770874e-05,1.0902582771295244
balance,0.05857211996182578,0.014728538771587932,3.976777389133418,6.985550260396313e-05,1.0603214532798781
marital_married,-0.10237225217488377,0.0273578962149079,-3.741963613382631,0.00018258795728314108,0.9026934595136827
job_student,0.05384719937054325,0.015247006282073997,3.53165719055627,0.00041296433693456915,1.0553233357646057
month_feb,-0.07032271739808368,0.019974943696523004,-3.5205464639344446,0.0004306585331949727,0.9320929687459617
month_jun,0.10063162348237908,0.02892647451607916,3.4788761909593124,0.0005035211586735826,1.1058691904789557
contact_telephone,-0.057932129060201364,0.017156038478925995,-3.376777752705766,0.0007334028319363385,0.9437139960190661
job_housemaid,-0.06926109549615975,0.021684839722468822,-3.1939869688958145,0.0014032245125681691,0.9330830244956596
education_secondary,0.09610087268265899,0.030960876245524994,3.1039455059528285,0.0019095849932112853,1.1008701061141892
job_blue-collar,-0.06220280242583787,0.028910543309560475,-2.1515611712931015,0.03143193306756811,0.9396922955884766
job_entrepreneur,-0.04459505836108689,0.0215125247424846,-2.072981153765607,0.03817403352689856,0.9563846834119202
education_unknown,0.03834303271000922,0.02013824857198059,1.9039904375476777,0.05691142957922902,1.039087612789772
default_yes,-0.040061287392149814,0.02273097034031999,-1.7624099100199635,0.0780000654812013,0.9607305566775876
job_self-employed,-0.032403580860809904,0.01984689793858083,-1.6326773564860158,0.10253687220101093,0.9681157902224632
marital_single,0.04667083132644026,0.028812484009806898,1.61981283219298,0.10527248892342017,1.0477770569250344
day,0.030656168580829264,0.020038707547722894,1.5298475965987581,0.12605445706645133,1.0311309077260113
job_services,-0.03154342445037415,0.023326749067178656,-1.3522426275316937,0.17629771119562931,0.9689488794676298
age,0.030334969697843786,0.022549573308466533,1.3452569271656294,0.1785422780996755,1.0307997628147727
job_technician,-0.03193153599727645,0.025005135473244476,-1.2769991200984787,0.20160255790756276,0.9685728921863727
job_management,-0.029356799766574532,0.028820129915981145,-1.0186213543158178,0.30838276236047024,0.9710699251250909
job_unemployed,0.012973678377951967,0.017512055083348545,0.7408427118464284,0.45878881430731866,1.0130582016737715
job_unknown,-0.01258872213334138,0.01784995796546254,-0.7052522004645053,0.4806533011951646,0.9874901843713831
