Model,ROC-AUC,PR-AUC
Logistic Regression,0.75205826614884,0.3341431304623821
Decision Tree,0.6748201081186014,0.3285332498148017
Local Outlier Factor,0.5541910376097096,0.132945993880185
ECOD,0.5520745923755179,0.15479466645005177
Isolation Forest,0.5272391106492299,0.13587209895587096
One-Class SVM,0.5220305563905893,0.14416948776378186
Random Classifier,0.5080381102090048,0.12207543391489362
