iter	Passed	Remaining
413	3302	3079
414	3310	3071
415	3318	3063
416	3326	3055
417	3334	3046
418	3342	3039
419	3350	3031
420	3357	3022
421	3365	3014
422	3373	3006
423	3380	2998
424	3388	2989
425	3395	2980
426	3402	2972
427	3410	2964
428	3418	2956
429	3424	2946
430	3431	2937
431	3438	2929
432	3446	2920
433	3453	2912
434	3460	2903
435	3467	2895
436	3476	2887
437	3485	2880
438	3492	2872
439	3499	2863
440	3508	2856
441	3516	2848
442	3524	2840
443	3531	2831
444	3537	2822
445	3545	2813
446	3553	2806
447	3559	2797
448	3566	2788
449	3574	2780
450	3582	2772
451	3589	2763
452	3597	2756
453	3605	2747
454	3612	2739
455	3620	2731
456	3629	2723
457	3637	2715
458	3646	2708
459	3653	2700
460	3661	2692
461	3669	2684
462	3677	2676
463	3684	2668
464	3693	2660
465	3701	2653
466	3710	2645
467	3718	2637
468	3727	2630
469	3736	2623
470	3743	2615
471	3751	2607
472	3759	2599
473	3768	2591
474	3776	2583
475	3785	2576
476	3793	2568
477	3801	2560
478	3809	2552
479	3817	2545
480	3825	2537
481	3832	2528
482	3838	2519
483	3846	2511
484	3854	2503
485	3863	2496
486	3869	2487
487	3876	2478
488	3884	2470
489	3892	2462
490	3899	2454
491	3907	2446
492	3915	2438
493	3922	2429
494	3929	2421
495	3937	2413
496	3944	2404
497	3952	2396
498	3958	2387
499	3965	2379
500	3974	2371
501	3981	2363
502	3987	2354
503	3994	2345
504	4001	2337
505	4010	2329
506	4018	2322
507	4026	2314
508	4033	2305
509	4040	2297
510	4047	2289
511	4055	2281
512	4062	2273
513	4071	2265
514	4077	2256
515	4085	2248
516	4092	2240
517	4099	2231
518	4106	2223
519	4114	2215
520	4122	2207
521	4130	2199
522	4137	2191
523	4144	2182
524	4151	2174
525	4158	2166
526	4166	2158
527	4174	2150
528	4180	2141
529	4187	2133
530	4195	2125
531	4202	2117
532	4209	2108
533	4216	2100
534	4224	2092
535	4232	2084
536	4239	2076
537	4245	2067
538	4253	2059
539	4261	2051
540	4267	2042
541	4274	2034
542	4282	2026
543	4290	2019
544	4297	2010
545	4304	2002
546	4311	1994
547	4319	1986
548	4327	1978
549	4334	1970
550	4342	1962
551	4349	1954
552	4355	1945
553	4363	1937
554	4371	1929
555	4379	1921
556	4386	1913
557	4393	1905
558	4401	1897
559	4407	1889
560	4414	1880
561	4422	1872
562	4429	1864
563	4436	1856
564	4443	1848
565	4451	1840
566	4459	1832
567	4466	1824
568	4473	1816
569	4481	1808
570	4489	1800
571	4495	1791
572	4503	1783
573	4511	1776
574	4519	1768
575	4526	1760
576	4532	1751
577	4539	1743
578	4547	1735
579	4555	1728
580	4563	1720
581	4569	1711
582	4576	1703
583	4584	1695
584	4592	1687
585	4599	1679
586	4606	1671
587	4613	1663
588	4621	1655
589	4628	1647
590	4635	1639
591	4643	1631
592	4651	1623
593	4659	1615
594	4666	1607
595	4673	1599
596	4681	1591
597	4688	1583
598	4695	1575
599	4703	1567
600	4710	1559
601	4716	1551
602	4725	1543
603	4731	1535
604	4738	1527
605	4745	1519
606	4753	1511
607	4759	1502
608	4766	1495
609	4774	1487
610	4782	1479
611	4789	1471
612	4797	1463
613	4805	1455
614	4813	1447
615	4820	1440
616	4828	1432
617	4836	1424
618	4844	1416
619	4851	1408
620	4858	1400
621	4866	1392
622	4873	1384
623	4880	1376
624	4887	1368
625	4894	1360
626	4903	1352
627	4909	1344
628	4916	1336
629	4923	1328
630	4931	1320
631	4939	1313
632	4946	1305
633	4953	1296
634	4960	1289
635	4967	1280
636	4974	1272
637	4981	1264
638	4989	1257
639	4997	1249
640	5005	1241
641	5012	1233
642	5019	1225
643	5026	1217
644	5034	1209
645	5041	1201
646	5049	1193
647	5056	1186
648	5064	1178
649	5070	1170
650	5078	1162
651	5085	1154
652	5092	1146
653	5100	1138
654	5107	1130
655	5114	1122
656	5121	1114
657	5128	1106
658	5136	1098
659	5143	1091
660	5150	1083
661	5157	1075
662	5165	1067
663	5173	1059
664	5179	1051
665	5187	1043
666	5195	1036
667	5201	1027
668	5209	1020
669	5216	1012
670	5224	1004
671	5232	996
672	5238	988
673	5245	980
674	5252	972
675	5260	964
676	5267	956
677	5274	949
678	5281	941
679	5290	933
680	5296	925
681	5303	917
682	5310	909
683	5318	902
684	5326	894
685	5332	886
686	5340	878
687	5348	870
688	5356	862
689	5363	855
690	5370	847
691	5377	839
692	5384	831
693	5392	823
694	5400	815
695	5406	807
696	5413	800
697	5422	792
698	5430	784
699	5437	776
700	5444	768
701	5451	761
