iter	Logloss
341	0.2964939672
342	0.2962338779
343	0.2961156161
344	0.2958618684
345	0.2957314975
346	0.2956912138
347	0.2954783878
348	0.2951635749
349	0.2949730204
350	0.2948420381
351	0.294718662
352	0.2945998747
353	0.294383019
354	0.2943281329
355	0.2941663611
356	0.2939949424
357	0.2937935562
358	0.2934577136
359	0.2932423068
360	0.2931371312
361	0.2928622689
362	0.2927513779
363	0.2926721269
364	0.2925547999
365	0.2923930435
366	0.2922171273
367	0.2920644066
368	0.2919639389
369	0.2918343884
370	0.2917455278
371	0.2915718582
372	0.2913598772
373	0.2911986025
374	0.2910230191
375	0.2909050351
376	0.2906686441
377	0.2905486462
378	0.2904414605
379	0.2903295701
380	0.2902045656
381	0.2900622174
382	0.2897761566
383	0.2895904372
384	0.2894297684
385	0.2891424118
386	0.2890257863
387	0.2888023986
388	0.2886547503
389	0.2885307735
390	0.2884156652
391	0.2883173562
392	0.2880843293
393	0.2878934161
394	0.2877789913
395	0.2877130206
396	0.2875691367
397	0.287307159
398	0.2872206274
399	0.2870813216
400	0.2869674892
401	0.2867902838
402	0.2866431256
403	0.2865321682
404	0.2864846779
405	0.286421603
406	0.286296788
407	0.2862047444
408	0.2860226233
409	0.285872522
410	0.2856865252
411	0.2854592756
412	0.285340934
413	0.2852407453
414	0.2851651604
415	0.2850847538
416	0.2849145569
417	0.2846393392
418	0.2845306975
419	0.2843006914
420	0.2841937462
421	0.2840066954
422	0.2838212897
423	0.2836745588
424	0.2833542096
425	0.2833009371
426	0.2830745407
427	0.2829155594
428	0.2828229124
429	0.2827330646
430	0.2826562634
431	0.2825085916
432	0.2823774244
433	0.2821555816
434	0.2820442636
435	0.2817617185
436	0.2816800168
437	0.2814892802
438	0.2814210864
439	0.2813451477
440	0.2812411129
441	0.2811032113
442	0.2810457249
443	0.2810129811
444	0.2809427131
445	0.2808189891
446	0.2807215718
447	0.2805866885
448	0.2804749937
449	0.2803685407
450	0.2803134203
451	0.2800982135
452	0.2800188912
453	0.2799151215
454	0.2798547137
455	0.2795421627
456	0.2794254082
457	0.279264634
458	0.2790514066
459	0.2788501757
460	0.2785707857
461	0.2784359071
462	0.2782129094
463	0.278013402
464	0.277861762
465	0.277606251
466	0.2774562185
467	0.2773282262
468	0.2772588129
469	0.2771527448
470	0.2769884382
471	0.276845679
472	0.2767142331
473	0.2766147026
474	0.2765220781
475	0.2764501562
476	0.2763265683
477	0.276160579
478	0.2760365701
479	0.2758753657
480	0.2756644674
481	0.2754274036
482	0.275149311
483	0.2749700884
484	0.27476896
485	0.2745710153
486	0.2742667974
487	0.2740959602
488	0.2739683754
489	0.273841221
490	0.2737303557
491	0.2735351975
492	0.2733647078
493	0.2732188096
494	0.2730358418
495	0.2728996939
496	0.2727276557
497	0.2724784343
498	0.2722792882
499	0.272091301
500	0.2719936613
501	0.271899348
502	0.2717010564
503	0.2714916547
504	0.27130411
505	0.2711462229
506	0.2710366435
507	0.2709292041
508	0.2708460449
509	0.2707324601
510	0.2705724485
511	0.2705281404
512	0.2704624851
513	0.2703061976
514	0.2701971802
515	0.2700691131
516	0.2700170038
517	0.2698915248
518	0.2697304411
519	0.2695957705
520	0.2694651598
521	0.2692886479
522	0.2691680336
523	0.2691047581
524	0.2689979643
525	0.268870702
526	0.2688009725
527	0.268689774
528	0.2685533707
529	0.2684161561
530	0.2682724193
531	0.2681586066
532	0.2680017939
533	0.2678091336
534	0.2677024889
535	0.2675776071
536	0.2674695669
537	0.2673564245
538	0.2672735901
539	0.2671815461
540	0.267001347
541	0.2668456846
542	0.2666881012
543	0.2665404967
544	0.2664355336
545	0.266240238
546	0.2660749371
547	0.2659783246
548	0.2658934252
549	0.2657640045
550	0.2656183047
551	0.2655086112
552	0.2654561085
553	0.2653661775
554	0.265276943
555	0.2652186842
556	0.2651076477
557	0.2650411819
558	0.2648435662
559	0.2647091306
560	0.2645924713
561	0.2645112517
562	0.2643876637
563	0.2642909854
564	0.2641929712
565	0.2640714352
566	0.263939818
567	0.2638413479
568	0.2636745733
569	0.2636484975
570	0.2635863505
571	0.2633808288
572	0.2632371108
573	0.2630996458
574	0.262999673
575	0.2629514617
576	0.2628691631
577	0.2627615197
578	0.2625826959
579	0.2624710961
580	0.2623748728
581	0.2623071353
582	0.2622536859
583	0.2621615026
584	0.2620666467
585	0.2619228396
586	0.2617237183
587	0.2616553849
588	0.2615560196
589	0.2614457401
590	0.2613968659
591	0.261260446
592	0.2611299582
593	0.260966188
594	0.2608761991
595	0.2607694863
596	0.2606726025
597	0.2605855862
598	0.2604889171
599	0.2604073085
600	0.2603206146
601	0.2602951033
602	0.2601729819
603	0.2600910274
604	0.260041411
605	0.2598662562
606	0.2597990844
607	0.2597451824
608	0.2596213968
609	0.2594508149
610	0.2593503485
611	0.2591847917
612	0.2590499686
613	0.2589272723
614	0.258837424
615	0.258757362
616	0.2586392302
617	0.2585265103
618	0.2584367079
619	0.2583513052
620	0.2582782554
621	0.2581915525
622	0.258138411
623	0.2580239966
624	0.2579029281
625	0.2578147588
626	0.2577009574
627	0.2575925118
628	0.2575086229
629	0.2574217477
630	0.2573463799
631	0.2572611978
632	0.2572092268
633	0.2570895945
634	0.2570017145
635	0.2569450814
636	0.256864294
637	0.2567333908
638	0.2566589321
639	0.2565693959
640	0.2564284159
641	0.2563241323
642	0.2562485182
643	0.2561514953
644	0.2560380076
645	0.2559620495
646	0.2558303527
647	0.2557212298
648	0.2556313331
649	0.2555388377
650	0.2554481158
651	0.2553410802
652	0.2552490037
653	0.255211331
654	0.2551524901
655	0.2550299098
656	0.2549028082
657	0.2548643516
658	0.2548095936
659	0.2546908703
660	0.2545513232
661	0.2544524417
662	0.254382954
663	0.2543568148
664	0.2542804892
665	0.254129135
666	0.2540499319
667	0.2539510123
668	0.2538089041
669	0.2537376535
670	0.2536837275
671	0.2535773823
672	0.2534734918
673	0.2534071659
674	0.2533066711
675	0.2532463843
676	0.2530607851
677	0.252991993
678	0.2529052204
679	0.2527540813
680	0.2526217318
681	0.2525454608
682	0.252449575
683	0.2523174434
684	0.2522509511
685	0.2521753007
686	0.252019061
687	0.2519790774
688	0.251824252
689	0.2517451683
690	0.2516551661
691	0.2515647299
692	0.2514922797
693	0.2514362103
694	0.25135107
695	0.2512482084
696	0.2511545493
697	0.2510422628
698	0.2509008312
699	0.2507669499
700	0.2507222518
701	0.250638328
702	0.2506005132
703	0.2504973984
704	0.2503988325
705	0.2502903031
706	0.2502282075
707	0.2501456825
708	0.2500820051
709	0.2500407094
710	0.2499193029
711	0.2498628482
712	0.2497797279
713	0.2497258179
714	0.2496253645
715	0.2495347369
716	0.2493763698
717	0.2493079101
718	0.2492228614
719	0.2491655666
720	0.2491269439
721	0.2490309139
722	0.248917073
723	0.2487903259
724	0.2487040355
725	0.2485918712
726	0.2485160262
727	0.2483829602
728	0.2482724397
729	0.248180592
730	0.2480982531
731	0.2480133764
732	0.247869253
733	0.2477348747
734	0.2476629811
735	0.2475594258
736	0.2474712741
737	0.2473321305
738	0.2472974719
739	0.2471993592
740	0.2471304406
741	0.2470460503
742	0.24691773
743	0.2468577731
744	0.2467592987
745	0.2466826785
746	0.246600942
747	0.2465261364
748	0.2464609031
749	0.2463920196
750	0.2463068739
751	0.246228558
752	0.2460455048
753	0.2459735526
754	0.2459442516
755	0.2458584969
756	0.2457675812
757	0.2456667763
758	0.2455906744
759	0.2455273093
760	0.2453759802
761	0.2453056976
762	0.2451839974
763	0.2451833805
764	0.2451326505
765	0.2450226169
766	0.2449276953
767	0.2448218852
768	0.2446974812
769	0.2446027489
770	0.2445882081
771	0.2445178457
772	0.244423016
773	0.2443232994
774	0.2442460323
775	0.2441639953
776	0.2441110814
777	0.2440572065
778	0.2439787897
779	0.2438690419
780	0.2438217287
781	0.2436689516
782	0.2436122952
783	0.2435132812
784	0.2434468729
785	0.2433613762
786	0.2432581248
787	0.2431085371
788	0.2429949263
789	0.2429124214
790	0.242775663
791	0.2427038162
792	0.2426144675
793	0.2425639311
794	0.2424706676
795	0.24239102
796	0.2423216547
797	0.2423211442
798	0.2422557858
799	0.2421258849
